Date,Rainfall
1948-11-01,164.348387
1948-12-01,0.0
1949-01-01,0.0
1949-02-01,0.0
1949-03-01,0.0
1949-04-01,0.0
1949-05-01,55.25777084
1949-06-01,450.8365615
1949-07-01,776.029985
1949-08-01,344.727745
1949-09-01,987.6194965
1949-10-01,46.94816646
1949-11-01,0.0
1949-12-01,0.0
1950-01-01,0.0
1950-02-01,0.0
1950-03-01,0.0
1950-04-01,0.0
1950-05-01,2.228123784
1950-06-01,156.7846805
1950-07-01,768.3141083
1950-08-01,120.2616894
1950-09-01,667.6864825
1950-10-01,21.3021161
1950-11-01,1.086130112
1950-12-01,0.0
1951-01-01,0.0
1951-02-01,0.0
1951-03-01,1.785068199
1951-04-01,2.694594316
1951-05-01,23.53129882
1951-06-01,486.7164333
1951-07-01,873.0308335
1951-08-01,233.4970948
1951-09-01,62.592924
1951-10-01,98.23516084
1951-11-01,7.885144055
1951-12-01,0.0
1952-01-01,0.0
1952-02-01,0.0
1952-03-01,0.0
1952-04-01,0.0
1952-05-01,0.0
1952-06-01,659.4909215
1952-07-01,816.1513859
1952-08-01,182.4679696
1952-09-01,81.01068899
1952-10-01,59.80895019
1952-11-01,0.0
1952-12-01,0.0
1953-01-01,0.0
1953-02-01,0.0
1953-03-01,0.0
1953-04-01,3.393663168
1953-05-01,0.0
1953-06-01,868.6613383
1953-07-01,993.93328
1953-08-01,365.7049057
1953-09-01,133.4433856
1953-10-01,68.41873856
1953-11-01,0.0
1953-12-01,0.0
1954-01-01,0.119254835
1954-02-01,7.981615424
1954-03-01,0.0
1954-04-01,2.061490297
1954-05-01,0.0
1954-06-01,574.0948515
1954-07-01,1299.687247
1954-08-01,854.473555
1954-09-01,699.757781
1954-10-01,45.23788385
1954-11-01,0.0
1954-12-01,2.551183462
1955-01-01,0.0
1955-02-01,0.0
1955-03-01,0.0
1955-04-01,0.0
1955-05-01,0.975558996
1955-06-01,384.3945117
1955-07-01,498.6370234
1955-08-01,981.3023684
1955-09-01,262.8969786
1955-10-01,213.8098043
1955-11-01,3.316999912
1955-12-01,0.0
1956-01-01,0.0
1956-02-01,0.0
1956-03-01,0.0
1956-04-01,0.0
1956-05-01,61.83341162
1956-06-01,706.199643
1956-07-01,854.2021886
1956-08-01,506.7693021
1956-09-01,550.9746685
1956-10-01,102.0798147
1956-11-01,10.15554774
1956-12-01,0.0
1957-01-01,0.0
1957-02-01,0.0
1957-03-01,0.0
1957-04-01,0.0
1957-05-01,25.31201127
1957-06-01,285.0467576
1957-07-01,789.8897636
1957-08-01,656.5144932
1957-09-01,64.37990752
1957-10-01,14.01743007
1957-11-01,37.62200907
1957-12-01,0.0
1958-01-01,0.127422675
1958-02-01,0.0
1958-03-01,0.0
1958-04-01,0.0
1958-05-01,1.241091207
1958-06-01,828.504283
1958-07-01,897.8397144
1958-08-01,1128.25184
1958-09-01,394.1517961
1958-10-01,0.279039003
1958-11-01,2.2815063
1958-12-01,0.0
1959-01-01,0.0
1959-02-01,0.0
1959-03-01,0.0
1959-04-01,4.306101799
1959-05-01,3.477257758
1959-06-01,446.3770054
1959-07-01,930.3067111
1959-08-01,662.5269339
1959-09-01,269.2765492
1959-10-01,337.9502354
1959-11-01,0.0
1959-12-01,0.0
1960-01-01,0.0
1960-02-01,0.0
1960-03-01,0.0
1960-04-01,0.0
1960-05-01,3.330729455
1960-06-01,1062.481902
1960-07-01,569.2942467
1960-08-01,285.0090303
1960-09-01,114.3248798
1960-10-01,253.0518916
1960-11-01,0.0
1960-12-01,0.268388838
1961-01-01,0.0
1961-02-01,19.35229874
1961-03-01,0.0
1961-04-01,0.228447124
1961-05-01,16.14000658
1961-06-01,374.6448361
1961-07-01,1175.557153
1961-08-01,358.1495357
1961-09-01,265.8214934
1961-10-01,97.57465969
1961-11-01,0.0
1961-12-01,0.761490345
1962-01-01,0.0
1962-02-01,0.589803383
1962-03-01,8.244768739
1962-04-01,14.1151357
1962-05-01,13.57787788
1962-06-01,73.54763114
1962-07-01,437.9492466
